seed,id,a1 in f1,a1 in f2,a2 in f2,a1 in f4,a2 in f4,a1 in f5,a1 in f6,a2 in f6
8453,1,5.584759411810231e-4,0.0014955730788002895,-2.4551429804371167e-7,-4.1738779043778296e-4,1.1652596392120318,0.006185348039315712,-0.0013336929037905529,10.451579954142797
5030,2,4.7614528415226284e-4,0.0012183950806489425,-1.9446536590960106e-7,-3.771093168668575e-4,1.0188544940493056,0.00608258258795606,-0.0010499891303964806,8.429752924435576
9650,3,3.6608544665208515e-4,8.931301471332659e-4,-1.380828139172786e-7,-1.516604957407673e-4,0.6182302205610145,0.005945887087021347,-6.891636668206825e-4,5.8287718404773825
4401,4,6.490290839540445e-4,0.0015526028720866095,-2.367313647842942e-7,-3.3412653545037796e-4,1.173966738630665,0.006293888852851768,-0.001197922706230655,10.20181912299298
7472,5,5.047861238098335e-4,0.0012551226783619302,-1.9658405206039767e-7,-2.963645383912742e-4,0.9566382081259761,0.006117201383822571,-0.0010183782888152743,8.413347827897159
7074,6,4.4046481247398935e-4,0.0011618303663866148,-1.889938091708565e-7,-3.392002728703207e-4,0.9309827044678143,0.006039182500719187,-0.0010323188474178984,8.13506480535373
2416,7,3.3387731594769336e-4,6.963248047406627e-4,-9.495924938452466e-8,-1.0626075275730298e-5,0.4113647063185851,0.005903994963171671,-3.8133434904084917e-4,3.9505416869262495
6784,8,5.795044728926838e-4,0.0015792784585113109,-2.619352876321013e-7,-4.8704383611291116e-4,1.2735443048922839,0.006211877912864421,-0.0014495493373168917,11.207677467589855
9258,9,2.134019581202386e-4,9.283507457701422e-4,-1.8731265168839446e-7,-5.032586231066285e-4,0.8557502684648517,0.00576540104534051,-0.0012174289929021984,7.90333490862324
5450,10,9.190406622228383e-5,2.5132912034284084e-4,-4.17684876857366e-8,1.331213668683573e-5,0.0938450733316389,0.0056085954857576,-1.8706521772746964e-4,1.5409141650858396
