seed,id,a1 in f1,a1 in f2,a2 in f2,a1 in f4,a2 in f4,a1 in f5,a1 in f6,a2 in f6
8485,1,4.09299945646693e-4,0.001149697663998312,-1.9398013161802927e-7,-3.4153160737020974e-4,0.8965531520739464,0.0060019164482722565,-0.0010745280400654967,8.19606922081975
6868,2,3.915811258298833e-4,0.001051389053299025,-1.7286604947680305e-7,-2.968697850447599e-4,0.8220656573538366,0.005979108057644259,-9.451668914202511e-4,7.38365860845865
5337,3,4.037919460924505e-4,0.0010697975417537486,-1.7448980446934419e-7,-2.2738542145752923e-4,0.7536764486267287,0.005993862007310128,-9.144768870199671e-4,7.281587024828067
4706,4,2.3975145384279152e-4,4.483706441783404e-4,-5.4657080912448094e-8,9.909236036326061e-5,0.16795824991667385,0.005787650440223084,-1.382386671817097e-4,2.0878654578117373
5972,5,8.064737781505559e-4,0.0020396623351544877,-3.230886220584843e-7,-4.853615865384794e-4,1.5425551357275986,0.0064896482288456505,-0.001673897563573807,13.700574059703406
5993,6,4.7899238162653286e-4,0.0014711466145608746,-2.599389543210195e-7,-5.859295951674676e-4,1.2716023336674915,0.0060906323659465035,-0.0015370081857652188,11.135576602313538
4593,7,7.085838219507673e-4,0.0018852133722391934,-3.0827047325153614e-7,-5.437575426045151e-4,1.4953961289361941,0.006370647013892955,-0.0016590441102438916,13.07782479388934
6571,8,6.009292480609279e-4,0.0015579552064106416,-2.5073553950957e-7,-4.3111916590935547e-4,1.2323486605219236,0.006236933758304195,-0.0013551282950304588,10.804475436139422
5000,9,5.377894195040438e-4,0.0013153909502212986,-2.037273259171225e-7,-2.643165995801688e-4,0.9577789809417442,0.006157464201172644,-0.0010349530356175704,8.687197001822156
7171,10,3.8751382890002986e-4,0.001082588941054875,-1.8210585797102808e-7,-3.7100220493585073e-4,0.9057290390923123,0.00597489337823646,-0.0010334908364234582,7.849058457075186
8338,11,3.6111742132791724e-5,2.813067674982895e-4,-6.423974860211196e-8,-1.7881982863330247e-4,0.25664555049168086,0.005543070857396587,-4.5621211133055133e-4,2.7193990279874356
3572,12,2.3934012937523676e-4,6.643799269685807e-4,-1.1135809016756282e-7,-2.556649834461402e-4,0.5910758443881422,0.005791329468965809,-6.367225632139846e-4,4.839018093322117
6948,13,1.8216227969989696e-4,4.7678046676575365e-4,-7.718834524684364e-8,-9.550071530108001e-5,0.3315519071916449,0.005719922134283632,-3.9436475854924395e-4,3.1845035668984107
5861,14,4.897152272798595e-4,0.0012955858469456034,-2.1113367180262596e-7,-3.57069192589032e-4,1.0111285783210453,0.006100035903184957,-0.0011298471374495652,8.945811358575908
6154,15,2.8584612796801783e-4,8.923126925661894e-4,-1.5889090566702449e-7,-2.914301283323439e-4,0.689314194540631,0.0058506420306338545,-9.139067547314855e-4,6.626952564022124
5372,16,2.3419839519101603e-4,7.697491592939141e-4,-1.403113558211699e-7,-3.1723497691149496e-4,0.6584557161067296,0.005787159981120889,-8.505636027685509e-4,5.9917891487429085
2290,17,6.508608188645605e-4,0.0015983501107903362,-2.482369853375889e-7,-3.7754271506674304e-4,1.2279963811394854,0.006296897759642361,-0.0012786116886576784,10.657630388154908
5254,18,4.510300268454659e-4,0.00124533135852177,-2.0810258195551686e-7,-3.472485948693179e-4,0.9532087612140147,0.006053193487566719,-0.0011384885862947257,8.77986175387134
8021,19,6.894405557211901e-4,0.001727909608590504,-2.7207318251239355e-7,-4.0371078163996314e-4,1.3053104564758873,0.006345061887186624,-0.001416893809368787,11.634544182143092
8008,20,4.196561329913789e-4,0.0012376224052023765,-2.143026662694891e-7,-4.546195822379514e-4,1.0439553920197542,0.006015911290771648,-0.00124981109225008,9.221465743821655
4819,21,7.465724894074602e-4,0.0020597134613804546,-3.4403571521458814e-7,-6.581045170691998e-4,1.6772971151015228,0.006419000695911972,-0.0019119423900062669,14.684567339384644
1507,22,6.104758092115398e-4,0.001632279234891053,-2.677068798136603e-7,-4.7149020077512035e-4,1.2919542776175443,0.006249600945923834,-0.00146099207906343,11.441955782265493
6616,23,3.787414172308396e-4,0.00111076756534469,-1.9178682624130915e-7,-4.308260214647891e-4,0.9666885149706259,0.005965013610098972,-0.0011186045559134167,8.270737148494808
3310,24,5.084329091758229e-4,0.0014528128180959009,-2.474223440849948e-7,-5.186925384670219e-4,1.2264702435045733,0.006125257438192009,-0.0014262047759948779,10.686160752828073
5150,25,2.755067323949736e-4,8.827676507436612e-4,-1.5909902198242797e-7,-3.319966760452639e-4,0.7254078408722663,0.005838225164040298,-9.37352527173495e-4,6.699346920434421
4849,26,2.0790624790935515e-4,5.400373218855035e-4,-8.701651537739338e-8,-1.221168764093533e-4,0.3940741051389578,0.005751678205934306,-4.5871398913406813e-4,3.6821421751152483
5508,27,6.560773840692749e-4,0.0015785661905690425,-2.4168699560470777e-07,-3.275312919672066e-4,1.1745077246213405,0.006302713735263211,-0.0012204326240502672,10.365086834999207
4618,28,4.864040084479747e-4,0.001294762973052021,-2.1178560449593253e-7,-3.479337083939372e-4,0.996266215668692,0.0060961167103978425,-0.0011455073229218356,9.014022085401868
3084,29,6.679461032321148e-4,0.001981824294458915,-3.442288626059696e-7,-7.44626677076151e-4,1.6867253029398528,0.0063243024379799236,-0.0020022580847373892,14.749134380166469
3729,30,4.684690589936718e-4,0.0012912963974120184,-2.1557623889043752e-7,-3.13688696934518e-4,0.93395915325993,0.0060746442740859585,-0.0011425851913808305,8.898815955562155
3556,31,3.4854779038585317e-4,9.133261535519046e-4,-1.479688260869775e-7,-2.5969389244472253e-4,0.7262893997639951,0.005925506362371109,-8.041675469798658e-4,6.367136075018441
9534,32,2.63069042867956e-4,7.917751116590246e-4,-1.385180832805278e-7,-2.1290470747317106e-4,0.5683508697232235,0.005821713783889569,-7.650685510371656e-4,5.679018706557769
